id	creator_id	explore_id	level_id	description	created_at	updated_at	privacy	status
1	1	6282	1000				0	0
8	1	6283	1000				0	0
21	1	6285	1000				0	0
46	1	6289	1000				0	0
53	1	6290	1000				0	0
66	1	6292	1000				0	0
73	1	6293	1000				0	0
80	1	6294	1000				0	0
105	1	6298	1000				0	0
112	1	6299	1000				0	0
119	1	6300	1000				0	0
132	1	6302	1000				0	0
139	1	6303	1000				0	0
146	1	6304	1000				0	0
159	1	6306	1000				0	0
166	1	6307	1000				0	0
173	1	6308	1000				0	0
180	1	6309	1000				0	0
187	1	6310	1000				0	0
200	1	6312	1000				0	0
2	1	6282	1001				0	0
9	1	6283	1001				0	0
22	1	6285	1001				0	0
47	1	6289	1001				0	0
54	1	6290	1001				0	0
67	1	6292	1001				0	0
74	1	6293	1001				0	0
81	1	6294	1001				0	0
106	1	6298	1001				0	0
113	1	6299	1001				0	0
120	1	6300	1001				0	0
133	1	6302	1001				0	0
140	1	6303	1001				0	0
147	1	6304	1001				0	0
160	1	6306	1001				0	0
167	1	6307	1001				0	0
174	1	6308	1001				0	0
181	1	6309	1001				0	0
188	1	6310	1001				0	0
201	1	6312	1001				0	0
3	1	6282	1002				0	0
10	1	6283	1002				0	0
23	1	6285	1002				0	0
48	1	6289	1002				0	0
55	1	6290	1002				0	0
68	1	6292	1002				0	0
75	1	6293	1002				0	0
82	1	6294	1002				0	0
107	1	6298	1002				0	0
114	1	6299	1002				0	0
121	1	6300	1002				0	0
134	1	6302	1002				0	0
141	1	6303	1002				0	0
148	1	6304	1002				0	0
161	1	6306	1002				0	0
168	1	6307	1002				0	0
175	1	6308	1002				0	0
182	1	6309	1002				0	0
189	1	6310	1002				0	0
202	1	6312	1002				0	0
4	1	6282	1003				0	0
11	1	6283	1003				0	0
24	1	6285	1003				0	0
49	1	6289	1003				0	0
56	1	6290	1003				0	0
69	1	6292	1003				0	0
76	1	6293	1003				0	0
83	1	6294	1003				0	0
108	1	6298	1003				0	0
115	1	6299	1003				0	0
122	1	6300	1003				0	0
135	1	6302	1003				0	0
142	1	6303	1003				0	0
149	1	6304	1003				0	0
162	1	6306	1003				0	0
169	1	6307	1003				0	0
176	1	6308	1003				0	0
183	1	6309	1003				0	0
190	1	6310	1003				0	0
203	1	6312	1003				0	0
5	1	6282	1004				0	0
12	1	6283	1004				0	0
25	1	6285	1004				0	0
50	1	6289	1004				0	0
57	1	6290	1004				0	0
70	1	6292	1004				0	0
77	1	6293	1004				0	0
84	1	6294	1004				0	0
109	1	6298	1004				0	0
116	1	6299	1004				0	0
123	1	6300	1004				0	0
136	1	6302	1004				0	0
143	1	6303	1004				0	0
150	1	6304	1004				0	0
163	1	6306	1004				0	0
170	1	6307	1004				0	0
177	1	6308	1004				0	0
184	1	6309	1004				0	0
191	1	6310	1004				0	0
204	1	6312	1004				0	0
6	1	6282	1005				0	0
13	1	6283	1005				0	0
26	1	6285	1005				0	0
51	1	6289	1005				0	0
58	1	6290	1005				0	0
71	1	6292	1005				0	0
78	1	6293	1005				0	0
85	1	6294	1005				0	0
110	1	6298	1005				0	0
117	1	6299	1005				0	0
124	1	6300	1005				0	0
137	1	6302	1005				0	0
144	1	6303	1005				0	0
151	1	6304	1005				0	0
164	1	6306	1005				0	0
171	1	6307	1005				0	0
178	1	6308	1005				0	0
185	1	6309	1005				0	0
192	1	6310	1005				0	0
205	1	6312	1005				0	0
7	1	6282	1006				0	0
14	1	6283	1006				0	0
27	1	6285	1006				0	0
52	1	6289	1006				0	0
59	1	6290	1006				0	0
72	1	6292	1006				0	0
79	1	6293	1006				0	0
86	1	6294	1006				0	0
111	1	6298	1006				0	0
118	1	6299	1006				0	0
125	1	6300	1006				0	0
138	1	6302	1006				0	0
145	1	6303	1006				0	0
152	1	6304	1006				0	0
165	1	6306	1006				0	0
172	1	6307	1006				0	0
179	1	6308	1006				0	0
186	1	6309	1006				0	0
193	1	6310	1006				0	0
206	1	6312	1006				0	0
15	1	6284	1026				0	0
28	1	6286	1026				0	0
34	1	6287	1026				0	0
40	1	6288	1026				0	0
60	1	6291	1026				0	0
87	1	6295	1026				0	0
93	1	6296	1026				0	0
99	1	6297	1026				0	0
126	1	6301	1026				0	0
153	1	6305	1026				0	0
194	1	6311	1026				0	0
16	1	6284	1027				0	0
29	1	6286	1027				0	0
