id	todo_id	skill_id	privacy	status
1	1	2093	0	0
2	2	2093	0	0
3	3	2093	0	0
4	4	2093	0	0
5	5	2093	0	0
6	6	2093	0	0
1000	1000	2081	0	0
1001	1001	2081	0	0
1002	1002	2081	0	0
1003	1003	2081	0	0
1004	1004	2081	0	0
1005	1005	2081	0	0
2000	2000	2076	0	0
2001	2001	2076	0	0
2002	2002	2076	0	0
2003	2003	2076	0	0
3000	3000	2092	0	0
3001	3001	2092	0	0
3002	3002	2092	0	0
3003	3003	2092	0	0
3004	3004	2092	0	0
3005	3005	2092	0	0
3006	3006	2092	0	0
3007	3007	2092	0	0
3008	3008	2092	0	0
3009	3009	2092	0	0
3010	3010	2092	0	0
3011	3011	2092	0	0
3012	3012	2092	0	0
3013	3013	2092	0	0
3014	3014	2092	0	0
3015	3015	2092	0	0
3016	3016	2092	0	0
3017	3017	2092	0	0
3018	3018	2092	0	0
3019	3019	2092	0	0
3020	3020	2092	0	0
3021	3021	2092	0	0
3022	3022	2092	0	0
3023	3023	2092	0	0
3024	3024	2092	0	0
3025	3025	2092	0	0
3026	3026	2092	0	0
3027	3027	2092	0	0
3028	3028	2092	0	0
3029	3029	2092	0	0
3030	3030	2092	0	0
3031	3031	2092	0	0
3032	3032	2092	0	0
3033	3033	2092	0	0
3034	3034	2092	0	0
3035	3035	2092	0	0
3036	3036	2092	0	0
3037	3037	2092	0	0
3038	3038	2092	0	0
3039	3039	2092	0	0
3040	3040	2092	0	0
3041	3041	2092	0	0
3042	3042	2092	0	0
3043	3043	2092	0	0
3044	3044	2092	0	0
3045	3045	2092	0	0
3046	3046	2092	0	0
3047	3047	2092	0	0
3048	3048	2092	0	0
3049	3049	2092	0	0
3050	3050	2092	0	0
4000	4000	2094	0	0
4001	4001	2094	0	0
