id	creator_id	explorer_id	level_id	description	created_at	updated_at	privacy	status
1	14	2080	1000				0	0
2	14	2080	1001				0	0
3	14	2080	1002				0	0
4	14	2080	1003				0	0
5	14	2080	1004				0	0
6	14	2080	1005				0	0
7	14	2080	1006				0	0
8	2	2084	1000				0	0
9	2	2084	1001				0	0
10	2	2084	1002				0	0
11	2	2084	1003				0	0
12	2	2084	1004				0	0
13	2	2084	1005				0	0
14	2	2084	1006				0	0
15	4	2076	1000				0	0
16	4	2076	1001				0	0
17	4	2076	1002				0	0
18	4	2076	1003				0	0
19	4	2076	1004				0	0
20	4	2076	1005				0	0
21	4	2076	1006				0	0
22	3	2077	1000				0	0
23	3	2077	1001				0	0
24	3	2077	1002				0	0
25	3	2077	1003				0	0
26	3	2077	1004				0	0
27	3	2077	1005				0	0
28	3	2077	1006				0	0
29	4	2088	1000				0	0
30	4	2088	1001				0	0
31	4	2088	1002				0	0
32	4	2088	1003				0	0
33	4	2088	1004				0	0
34	4	2088	1005				0	0
35	4	2088	1006				0	0
36	3	2092	1000				0	0
37	3	2092	1001				0	0
38	3	2092	1002				0	0
39	3	2092	1003				0	0
40	3	2092	1004				0	0
41	3	2092	1005				0	0
42	3	2092	1006				0	0
43	2	2074	1000				0	0
44	2	2075	1000				0	0
45	2	2078	1000				0	0
46	2	2079	1000				0	0
47	2	2081	1000				0	0
48	2	2082	1000				0	0
49	2	2083	1000				0	0
50	2	2085	1000				0	0
51	2	2086	1000				0	0
52	2	2087	1000				0	0
53	2	2089	1000				0	0
54	2	2090	1000				0	0
55	2	2091	1000				0	0
56	2	2093	1000				0	0
57	2	2074	1005				0	0
58	2	2075	1005				0	0
59	2	2078	1005				0	0
60	2	2079	1005				0	0
61	2	2081	1005				0	0
62	2	2082	1005				0	0
63	2	2083	1005				0	0
64	2	2085	1005				0	0
65	2	2086	1005				0	0
66	2	2087	1005				0	0
67	2	2089	1005				0	0
68	2	2090	1005				0	0
69	2	2091	1005				0	0
70	2	2093	1005				0	0
71	2	2074	1001				0	0
72	2	2075	1001				0	0
73	2	2078	1001				0	0
74	2	2079	1001				0	0
75	2	2081	1001				0	0
76	2	2082	1001				0	0
77	2	2083	1001				0	0
78	2	2085	1001				0	0
79	2	2086	1001				0	0
80	2	2087	1001				0	0
81	2	2089	1001				0	0
82	2	2090	1001				0	0
83	2	2091	1001				0	0
84	2	2093	1001				0	0
85	2	2074	1002				0	0
86	2	2075	1002				0	0
87	2	2078	1002				0	0
88	2	2079	1002				0	0
89	2	2081	1002				0	0
90	2	2082	1002				0	0
91	2	2083	1002				0	0
92	2	2085	1002				0	0
93	2	2086	1002				0	0
94	2	2087	1002				0	0
95	2	2089	1002				0	0
96	2	2090	1002				0	0
97	2	2091	1002				0	0
98	2	2093	1002				0	0
99	2	2074	1003				0	0
100	2	2075	1003				0	0
101	2	2078	1003				0	0
102	2	2079	1003				0	0
103	2	2081	1003				0	0
104	2	2082	1003				0	0
105	2	2083	1003				0	0
106	2	2085	1003				0	0
107	2	2086	1003				0	0
108	2	2087	1003				0	0
109	2	2089	1003				0	0
110	2	2090	1003				0	0
111	2	2091	1003				0	0
112	2	2093	1003				0	0
113	2	2074	1004				0	0
114	2	2075	1004				0	0
115	2	2078	1004				0	0
116	2	2079	1004				0	0
117	2	2081	1004				0	0
118	2	2082	1004				0	0
119	2	2083	1004				0	0
120	2	2085	1004				0	0
121	2	2086	1004				0	0
122	2	2087	1004				0	0
123	2	2089	1004				0	0
124	2	2090	1004				0	0
125	2	2091	1004				0	0
126	2	2093	1004				0	0
127	2	2074	1006				0	0
128	2	2075	1006				0	0
129	2	2078	1006				0	0
130	2	2079	1006				0	0
131	2	2081	1006				0	0
132	2	2082	1006				0	0
133	2	2083	1006				0	0
134	2	2085	1006				0	0
135	2	2086	1006				0	0
136	2	2087	1006				0	0
137	2	2089	1006				0	0
138	2	2090	1006				0	0
139	2	2091	1006				0	0
140	2	2093	1006				0	0
141	7	500000	1026				0	0
142	2	500001	1026				0	0
143	3	500002	1026				0	0
144	2	500003	1026				0	0
145	2	500004	1026				0	0
146	2	500005	1026				0	0
147	3	500006	1026				0	0
148	2	500007	1026				0	0
149	2	500008	1026				0	0
150	2	500009	1026				0	0
151	14	500010	1026				0	0
152	7	500000	1027				0	0
153	2	500001	1027				0	0
154	3	500002	1027				0	0
155	2	500003	1027				0	0
156	2	500004	1027				0	0
157	2	500005	1027				0	0
158	3	500006	1027				0	0
159	2	500007	1027				0	0
160	2	500008	1027				0	0
161	2	500009	1027				0	0
162	14	500010	1027				0	0
163	7	500000	1028				0	0
164	2	500001	1028				0	0
165	3	500002	1028				0	0
166	2	500003	1028				0	0
167	2	500004	1028				0	0
168	2	500005	1028				0	0
169	3	500006	1028				0	0
170	2	500007	1028				0	0
171	2	500008	1028				0	0
172	2	500009	1028				0	0
173	14	500010	1028				0	0
174	7	500000	1029				0	0
175	2	500001	1029				0	0
176	3	500002	1029				0	0
177	2	500003	1029				0	0
178	2	500004	1029				0	0
179	2	500005	1029				0	0
180	3	500006	1029				0	0
181	2	500007	1029				0	0
182	2	500008	1029				0	0
183	2	500009	1029				0	0
184	14	500010	1029				0	0
185	7	500000	1030				0	0
186	2	500001	1030				0	0
187	3	500002	1030				0	0
188	2	500003	1030				0	0
189	2	500004	1030				0	0
190	2	500005	1030				0	0
191	3	500006	1030				0	0
192	2	500007	1030				0	0
193	2	500008	1030				0	0
194	2	500009	1030				0	0
195	14	500010	1030				0	0
196	7	500000	1031				0	0
197	2	500001	1031				0	0
198	3	500002	1031				0	0
199	2	500003	1031				0	0
200	2	500004	1031				0	0
201	2	500005	1031				0	0
202	3	500006	1031				0	0
203	2	500007	1031				0	0
204	2	500008	1031				0	0
205	2	500009	1031				0	0
206	14	500010	1031				0	0
