id	first_explorer_id	second_explorer_id	creator_id	created_at	updated_at	level_id	privacy	order	status
1	10001	10000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
2	10100	10001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
3	10101	10001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
4	10102	10001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
5	10103	10001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
6	10104	10001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
7	10105	10001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
8	10106	10001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
9	10107	10001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
10	10200	10002	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
11	10201	10002	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
12	10202	10002	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
13	10203	10002	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
14	10204	10002	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
15	10205	10002	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
16	10206	10002	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
17	10207	10002	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
18	11001	11000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
19	12001	12000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
20	12002	12000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
21	12003	12000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
22	12004	12000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
23	12005	12000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
24	12006	12000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
25	12007	12000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
26	12008	12000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
27	12101	12001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
28	12102	12001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
29	12103	12001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
30	12104	12001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
31	12105	12001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
32	12106	12001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
33	12107	12001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
34	12108	12001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
35	12201	12002	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
36	12202	12002	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
37	12203	12002	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
38	12204	12002	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
39	12205	12002	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
40	12206	12002	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
41	12301	12003	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
42	12302	12003	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
43	12303	12003	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
44	12401	12004	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
45	12402	12004	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
46	12403	12004	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
47	12404	12004	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
48	13001	13000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
49	13002	13000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
50	13003	13000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
51	13004	13000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
52	13005	13000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
53	14001	14000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
54	14002	14000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
55	15001	15000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
56	15002	15000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
57	15003	15000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
58	15004	15000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
59	15005	15000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
60	15006	15000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
61	15007	15000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
62	15008	15000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
63	15009	15000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
64	15010	15000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
65	15011	15000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
66	15012	15000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
67	15013	15000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
68	15014	15000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
69	15015	15000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
70	15016	15000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
