id	component_id	explorer_id	privacy	status
1	1000	100012000	0	0
2	1001	100012000	0	0
3	1002	100012000	0	0
4	1003	100012000	0	0
5	1004	100012000	0	0
6	1005	100012000	0	0
7	1006	100012000	0	0
8	1007	100012000	0	0
9	1008	100012000	0	0
10	1009	100012000	0	0
11	1100	2094	0	0
12	1101	2094	0	0
13	1200	11000000	0	0
14	2000	100012009	0	0
15	2001	100012009	0	0
16	2002	100012009	0	0
17	2003	100012009	0	0
18	2004	100012009	0	0
19	2005	100012009	0	0
20	2006	100012009	0	0
21	2007	100012009	0	0
22	3000	100010107	0	0
23	3001	100010107	0	0
24	3002	100010107	0	0
25	3003	100010107	0	0
26	3004	100010107	0	0
27	3005	100010107	0	0
28	3006	100010107	0	0
29	10000001	100012000	0	0
30	10000100	100012000	0	0
31	10000200	100012000	0	0
32	10000300	100012000	0	0
33	10001000	100010106	0	0
34	10002000	100010106	0	0
35	10003000	100010106	0	0
36	10004000	100010106	0	0
37	10005000	100010106	0	0
38	10006000	100010106	0	0
39	10007000	100010106	0	0
40	10008000	100010106	0	0
41	10009000	100010106	0	0
42	10010000	100010106	0	0
43	10011000	100010106	0	0
44	10012000	100010106	0	0
45	10013000	100010106	0	0
46	10014000	100010106	0	0
47	10015000	100010106	0	0
48	10016000	100010106	0	0
49	10100000	100010102	0	0
50	10200000	100010102	0	0
51	10201000	100010101	0	0
52	10202000	100010101	0	0
53	10203000	100010101	0	0
54	10204000	100010101	0	0
55	10205000	100010101	0	0
56	10206000	100010101	0	0
57	10207000	100010101	0	0
58	10208000	100010101	0	0
59	10209000	100010101	0	0
60	10210000	100010101	0	0
61	10211000	100010101	0	0
62	10212000	100010101	0	0
63	10213000	100010101	0	0
64	10214000	100010101	0	0
65	10215000	100010101	0	0
66	10216000	100010101	0	0
67	10217000	100010101	0	0
68	10218000	100010101	0	0
69	10219000	100010101	0	0
70	10303400	100010001	0	0
71	10303500	100010001	0	0
72	10400000	100010107	0	0
73	10401000	100010107	0	0
74	10402000	100010107	0	0
75	10403000	100010107	0	0
76	10404000	100010107	0	0
77	10405000	100010107	0	0
78	10406000	100010107	0	0
79	20000001	100010106	0	0
80	20002000	100010106	0	0
81	20004000	100010106	0	0
82	20100000	100012009	0	0
83	20102000	100012009	0	0
84	20200000	100012009	0	0
85	20201000	100012009	0	0
86	200001000	100012000	0	0
87	200001001	100012000	0	0
88	200001002	100012000	0	0
89	200001003	100012000	0	0
90	200001004	100012000	0	0
91	220201000	100012009	0	0
92	220201001	100012009	0	0
93	220201002	100012009	0	0
94	220201003	100012009	0	0
95	220201004	100012009	0	0
96	210303400	100010001	0	0
97	210303401	100010001	0	0
98	210200000	100010101	0	0
99	210200001	100010101	0	0
100	210200002	100010101	0	0
101	210200003	100010101	0	0
102	210001000	100010106	0	0
103	210001001	100010106	0	0
104	210001002	100010106	0	0
105	210001003	100010106	0	0
106	210001004	100010106	0	0
107	210001005	100010106	0	0
108	210001006	100010106	0	0
109	210001007	100010106	0	0
110	210001008	100010106	0	0
111	210001009	100010106	0	0
112	210001010	100010106	0	0
113	210001011	100010106	0	0
114	210001012	100010106	0	0
115	210001013	100010106	0	0
116	200003000	100010107	0	0
117	200003001	100010107	0	0
