id	contribution_id	explorer_id	privacy	status
17	9	10001	0	0
18	10	10001	0	0
19	11	10001	0	0
20	12	10001	0	0
21	13	10100	0	0
29	14	10100	0	0
37	15	10100	0	0
45	16	10100	0	0
22	17	10101	0	0
30	18	10101	0	0
38	19	10101	0	0
46	20	10101	0	0
23	21	10102	0	0
31	22	10102	0	0
39	23	10102	0	0
47	24	10102	0	0
24	25	10103	0	0
32	26	10103	0	0
40	27	10103	0	0
48	28	10103	0	0
25	29	10104	0	0
33	30	10104	0	0
41	31	10104	0	0
49	32	10104	0	0
26	33	10105	0	0
34	34	10105	0	0
42	35	10105	0	0
50	36	10105	0	0
27	37	10106	0	0
35	38	10106	0	0
43	39	10106	0	0
51	40	10106	0	0
28	41	10107	0	0
36	42	10107	0	0
44	43	10107	0	0
52	44	10107	0	0
1	1	12000	0	0
2	2	12000	0	0
3	3	12000	0	0
4	4	12000	0	0
5	5	12000	0	0
6	6	12000	0	0
7	7	12000	0	0
8	8	12000	0	0
53	45	100010001	0	0
54	46	100010001	0	0
55	47	100010001	0	0
56	48	100010001	0	0
57	49	100010100	0	0
65	50	100010100	0	0
73	51	100010100	0	0
81	52	100010100	0	0
58	53	100010101	0	0
66	54	100010101	0	0
74	55	100010101	0	0
82	56	100010101	0	0
59	57	100010102	0	0
67	58	100010102	0	0
75	59	100010102	0	0
83	60	100010102	0	0
60	61	100010103	0	0
68	62	100010103	0	0
76	63	100010103	0	0
84	64	100010103	0	0
61	65	100010104	0	0
69	66	100010104	0	0
77	67	100010104	0	0
85	68	100010104	0	0
62	69	100010105	0	0
70	70	100010105	0	0
78	71	100010105	0	0
86	72	100010105	0	0
63	73	100010106	0	0
71	74	100010106	0	0
79	75	100010106	0	0
87	76	100010106	0	0
64	77	100010107	0	0
72	78	100010107	0	0
80	79	100010107	0	0
88	80	100010107	0	0
9	1	100012000	0	0
10	2	100012000	0	0
11	3	100012000	0	0
12	4	100012000	0	0
13	5	100012000	0	0
14	6	100012000	0	0
15	7	100012000	0	0
16	8	100012000	0	0
