id	guideline_id	explorer_id	privacy	status
1	1	2092	0	0
2	100	2092	0	0
3	101	2092	0	0
4	102	2092	0	0
5	103	2092	0	0
6	104	2092	0	0
7	200	2092	0	0
8	201	2092	0	0
9	202	2092	0	0
10	203	2092	0	0
11	204	2092	0	0
12	205	2092	0	0
13	300	2092	0	0
14	301	2092	0	0
15	302	2092	0	0
16	303	2092	0	0
17	304	2092	0	0
18	305	2092	0	0
19	400	2092	0	0
20	401	2092	0	0
21	402	2092	0	0
22	403	2092	0	0
23	404	2092	0	0
24	405	2092	0	0
25	406	2092	0	0
26	500	2092	0	0
27	501	2092	0	0
28	502	2092	0	0
29	503	2092	0	0
30	600	2092	0	0
31	601	2092	0	0
32	700	2092	0	0
33	701	2092	0	0
34	702	2092	0	0
35	703	2092	0	0
