id	level_id	componet_id	creator_id	contributor_id	description	created_at	updated_at	status_id	privacy_id
1	4003	7	2	18		14-12-03 08:57:00	15-01-01 00:10:00	5001	10001
2	4003	7	2	16		14-12-03 08:57:00	15-01-01 00:10:00	5001	10001
3	4003	7	2	14		14-12-03 08:57:00	15-01-01 00:10:00	5001	10001
4	4002	7	2	3		14-12-03 08:57:00	15-01-01 00:10:00	5001	10001
5	4003	4	2	3		14-12-03 08:57:00	15-01-01 00:10:00	5001	10001
6	4003	4	2	4		14-12-03 08:57:00	15-01-01 00:10:00	5001	10001
7	4003	4	2	5		14-12-03 08:57:00	15-01-01 00:10:00	5001	10001
8	4003	4	2	6		14-12-03 08:57:00	15-01-01 00:10:00	5001	10001
9	4003	4	2	7		14-12-03 08:57:00	15-01-01 00:10:00	5001	10001
10	4003	4	2	19		14-12-03 08:57:00	15-01-01 00:10:00	5001	10001
11	4002	4	2	18		14-12-03 08:57:00	15-01-01 00:10:00	5001	10001
12	4002	4	2	13		14-12-03 08:57:00	15-01-01 00:10:00	5001	10001
13	4001.333333	7343	2	3		14-12-03 08:57:00	15-01-01 00:10:00	5001	10001
14	4000.833333	7343	2	5		14-12-03 08:57:00	15-01-01 00:10:00	5001	10001
15	4000.333333	7343	2	6		14-12-03 08:57:00	15-01-01 00:10:00	5001	10001
16	3999.833333	7343	2	13		14-12-03 08:57:00	15-01-01 00:10:00	5001	10001
17	3999.333333	7343	2	16		14-12-03 08:57:00	15-01-01 00:10:00	5001	10001
18	3998.833333	7397	2	3		14-12-03 08:57:00	15-01-01 00:10:00	5001	10001
19	3998.333333	7397	2	5		14-12-03 08:57:00	15-01-01 00:10:00	5001	10001
20	3997.833333	7397	2	6		14-12-03 08:57:00	15-01-01 00:10:00	5001	10001
21	3997.333333	7397	2	7		14-12-03 08:57:00	15-01-01 00:10:00	5001	10001
22	3996.833333	7397	2	13		14-12-03 08:57:00	15-01-01 00:10:00	5001	10001
23	3996.333333	7397	2	16		14-12-03 08:57:00	15-01-01 00:10:00	5001	10001
24	3995.833333	7397	2	14		14-12-03 08:57:00	15-01-01 00:10:00	5001	10001
