id	level_id	creator_id	contributor_id	description	created_at	updated_at	status_id
1	60001	2	16		5/6/2016 2:21	5/6/2016 2:21	70000
2	60001	2	18		5/6/2016 2:21	5/6/2016 2:21	70000
3	60002	2	7		5/6/2016 2:21	5/6/2016 2:21	70000
4	60002	2	5		5/6/2016 2:21	5/6/2016 2:21	70000
5	60002	2	3		5/6/2016 2:21	5/6/2016 2:21	70000
6	60002	2	6		5/6/2016 2:21	5/6/2016 2:21	70000
7	60002	2	4		5/6/2016 2:21	5/6/2016 2:21	70000
8	60001	2	14		5/6/2016 2:21	5/6/2016 2:21	70000
9	60001	2	3		5/6/2016 2:21	5/6/2016 2:21	70000
10	60002	2	14		5/6/2016 2:21	5/6/2016 2:21	70000
11	60002	2	16		5/6/2016 2:21	5/6/2016 2:21	70000
12	60002	2	18		5/6/2016 2:21	5/6/2016 2:21	70000
13	60001	2	3		5/6/2016 2:21	5/6/2016 2:21	70000
14	60002	2	14		5/6/2016 2:21	5/6/2016 2:21	70000
15	60002	2	16		5/6/2016 2:21	5/6/2016 2:21	70000
16	60002	2	18		5/6/2016 2:21	5/6/2016 2:21	70000
17	60001	2	3		5/6/2016 2:21	5/6/2016 2:21	70000
18	60002	2	14		5/6/2016 2:21	5/6/2016 2:21	70000
19	60002	2	16		5/6/2016 2:21	5/6/2016 2:21	70000
20	60002	2	18		5/6/2016 2:21	5/6/2016 2:21	70000
21	60001	2	3		5/6/2016 2:21	5/6/2016 2:21	70000
22	60002	2	14		5/6/2016 2:21	5/6/2016 2:21	70000
23	60002	2	16		5/6/2016 2:21	5/6/2016 2:21	70000
24	60002	2	18		5/6/2016 2:21	5/6/2016 2:21	70000
25	60001	2	3		5/6/2016 2:21	5/6/2016 2:21	70000
26	60002	2	14		5/6/2016 2:21	5/6/2016 2:21	70000
27	60002	2	16		5/6/2016 2:21	5/6/2016 2:21	70000
28	60002	2	18		5/6/2016 2:21	5/6/2016 2:21	70000
29	60001	2	3		5/6/2016 2:21	5/6/2016 2:21	70000
30	60002	2	14		5/6/2016 2:21	5/6/2016 2:21	70000
31	60002	2	16		5/6/2016 2:21	5/6/2016 2:21	70000
32	60002	2	18		5/6/2016 2:21	5/6/2016 2:21	70000
33	60001	2	3		5/6/2016 2:21	5/6/2016 2:21	70000
34	60002	2	14		5/6/2016 2:21	5/6/2016 2:21	70000
35	60002	2	16		5/6/2016 2:21	5/6/2016 2:21	70000
36	60002	2	18		5/6/2016 2:21	5/6/2016 2:21	70000
37	60001	2	3		5/6/2016 2:21	5/6/2016 2:21	70000
38	60002	2	14		5/6/2016 2:21	5/6/2016 2:21	70000
39	60002	2	16		5/6/2016 2:21	5/6/2016 2:21	70000
40	60002	2	18		5/6/2016 2:21	5/6/2016 2:21	70000
41	60001	2	3		5/6/2016 2:21	5/6/2016 2:21	70000
42	60002	2	14		5/6/2016 2:21	5/6/2016 2:21	70000
43	60002	2	16		5/6/2016 2:21	5/6/2016 2:21	70000
44	60002	2	18		5/6/2016 2:21	5/6/2016 2:21	70000
45	60001	2	3		5/6/2016 2:21	5/6/2016 2:21	70000
46	60002	2	14		5/6/2016 2:21	5/6/2016 2:21	70000
47	60002	2	16		5/6/2016 2:21	5/6/2016 2:21	70000
48	60002	2	18		5/6/2016 2:21	5/6/2016 2:21	70000
49	60001	2	3		5/6/2016 2:21	5/6/2016 2:21	70000
50	60002	2	14		5/6/2016 2:21	5/6/2016 2:21	70000
51	60002	2	16		5/6/2016 2:21	5/6/2016 2:21	70000
52	60002	2	18		5/6/2016 2:21	5/6/2016 2:21	70000
53	60001	2	3		5/6/2016 2:21	5/6/2016 2:21	70000
54	60002	2	14		5/6/2016 2:21	5/6/2016 2:21	70000
55	60002	2	16		5/6/2016 2:21	5/6/2016 2:21	70000
56	60002	2	18		5/6/2016 2:21	5/6/2016 2:21	70000
57	60001	2	3		5/6/2016 2:21	5/6/2016 2:21	70000
58	60002	2	14		5/6/2016 2:21	5/6/2016 2:21	70000
59	60002	2	16		5/6/2016 2:21	5/6/2016 2:21	70000
60	60002	2	18		5/6/2016 2:21	5/6/2016 2:21	70000
61	60001	2	3		5/6/2016 2:21	5/6/2016 2:21	70000
62	60002	2	14		5/6/2016 2:21	5/6/2016 2:21	70000
63	60002	2	16		5/6/2016 2:21	5/6/2016 2:21	70000
64	60002	2	18		5/6/2016 2:21	5/6/2016 2:21	70000
65	60001	2	3		5/6/2016 2:21	5/6/2016 2:21	70000
66	60002	2	14		5/6/2016 2:21	5/6/2016 2:21	70000
67	60002	2	16		5/6/2016 2:21	5/6/2016 2:21	70000
68	60002	2	18		5/6/2016 2:21	5/6/2016 2:21	70000
69	60001	2	3		5/6/2016 2:21	5/6/2016 2:21	70000
70	60002	2	14		5/6/2016 2:21	5/6/2016 2:21	70000
71	60002	2	16		5/6/2016 2:21	5/6/2016 2:21	70000
72	60002	2	18		5/6/2016 2:21	5/6/2016 2:21	70000
73	60001	2	3		5/6/2016 2:21	5/6/2016 2:21	70000
74	60002	2	14		5/6/2016 2:21	5/6/2016 2:21	70000
75	60002	2	16		5/6/2016 2:21	5/6/2016 2:21	70000
76	60002	2	18		5/6/2016 2:21	5/6/2016 2:21	70000
77	60001	2	3		5/6/2016 2:21	5/6/2016 2:21	70000
78	60002	2	14		5/6/2016 2:21	5/6/2016 2:21	70000
79	60002	2	16		5/6/2016 2:21	5/6/2016 2:21	70000
80	60002	2	18		5/6/2016 2:21	5/6/2016 2:21	70000
