id	level_id	component_id	creator_id	description	created_at	updated_at	importance	status_id
1	12002	7	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
2	12002	4	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
3	12002	10	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
4	12002	11	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
5	12002	24	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
6	12002	34	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
7	12003	8	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
8	12003	5	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
9	12003	3	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
10	12003	7	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
11	12003	15	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
12	12003	35	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
13	12004	8111	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
14	12004	12	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
15	12004	2	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
16	12004	42	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
17	12004	57	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
18	12004	47	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
19	12004	23	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
20	12005	163	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
21	12005	94	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
22	12005	3	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
23	12005	583	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
24	12005	1119	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
25	12005	1364	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
26	12005	1417	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
27	12006	33	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
28	12006	36	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
29	12006	46	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
30	12006	7	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
31	12006	5	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
32	12006	8	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
33	12006	727	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
34	12006	3007	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
35	12006	4129	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
36	12007	33	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
37	12007	31	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
38	12007	7	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
39	12007	34	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
40	12007	8	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
41	12007	21	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
42	12007	35	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
43	12008	204	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
44	12008	238	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
45	12008	598	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
46	12008	531	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
47	12008	623	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
48	12008	711	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
49	12008	960	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
50	12008	1098	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
51	12009	35	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
52	12009	36	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
53	12009	7	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
54	12009	17	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
55	12009	50	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
56	12009	54	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
57	12009	21	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
58	12009	33	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
59	13001	3	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
60	13001	5	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
61	13001	6	1		14-12-03 08:57:00	14-12-03 08:57:00	99	
62	13001	7	1		14-12-03 08:57:00	14-12-03 08:57:00	1000	
63	13001	8	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
64	13001	9	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
65	13001	10	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
66	13001	12	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
67	13001	13	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
68	13001	14	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
69	13001	15	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
70	13001	16	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
71	13001	17	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
72	13001	18	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
73	13001	20	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
74	13001	21	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
75	13001	22	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
76	13001	40	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
77	13001	42	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
78	13001	43	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
79	13001	44	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
80	13001	45	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
81	13001	46	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
82	13001	47	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
83	13001	48	1		14-12-03 08:57:00	14-12-03 08:57:00	1	
