id	component_id	check_status_id	notes	created_at	updated_at	status_id
1	8033	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
2	8034	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
3	8035	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
4	8036	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
5	8037	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
6	8038	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
7	8039	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
8	8040	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
9	8041	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
10	8042	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
11	8043	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
12	8044	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
13	8045	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
14	8046	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
15	8047	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
16	8052	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
17	8060	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
18	8061	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
19	8062	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
20	8063	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
21	8064	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
22	8065	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
23	8066	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
24	8067	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
25	8068	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
26	8069	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
27	8070	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
28	8071	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
29	8072	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
30	8073	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
31	8074	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
32	8075	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
33	8076	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
34	8077	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
35	8078	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
36	8079	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
37	8080	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
38	8081	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
39	8082	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
40	8083	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
41	8084	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
42	8085	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
43	8086	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
44	8087	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
45	8088	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
46	8089	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
47	8090	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
48	8091	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
49	8092	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
50	8093	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
51	8094	15001		14-12-03 08:57:00	15-01-01 00:10:00	0
