id	checklist_id	todo_id	privacy	status
1	1	4000	0	0
2	2	4000	0	0
3	3	4000	0	0
4	4	4000	0	0
5	5	4000	0	0
6	6	4000	0	0
7	7	4000	0	0
8	8	4000	0	0
9	9	4000	0	0
10	10	4000	0	0
11	11	4000	0	0
12	12	4000	0	0
13	13	4000	0	0
14	14	4000	0	0
15	15	4000	0	0
16	16	4000	0	0
17	17	4000	0	0
18	18	4000	0	0
19	19	4000	0	0
20	20	4000	0	0
21	21	4000	0	0
22	22	4000	0	0
23	23	4000	0	0
24	24	4000	0	0
25	25	4000	0	0
26	26	4000	0	0
27	27	4000	0	0
28	28	4000	0	0
29	29	4000	0	0
30	30	4000	0	0
31	31	4000	0	0
32	32	4000	0	0
33	33	4000	0	0
100	100	4001	0	0
101	101	4001	0	0
102	102	4001	0	0
103	103	4001	0	0
104	104	4001	0	0
105	105	4001	0	0
106	106	4001	0	0
107	107	4001	0	0
108	108	4001	0	0
